DATE,UNRATE,FEDFUNDS,GS10
1969-04-01,3.4,7.41,6.17
1969-05-01,3.4,8.67,6.32
1969-06-01,3.5,8.90,6.57
1969-07-01,3.5,8.61,6.72
1969-08-01,3.5,9.19,6.69
1969-09-01,3.7,9.15,7.16
1969-10-01,3.7,9.00,7.10
1969-11-01,3.5,8.85,7.14
1969-12-01,3.5,8.97,7.65
1970-01-01,3.9,8.98,7.79
1970-02-01,4.2,8.98,7.24
1970-03-01,4.4,7.76,7.07
1970-04-01,4.6,8.10,7.39
1970-05-01,4.8,7.95,7.91
1970-06-01,4.9,7.61,7.84
1970-07-01,5.0,7.21,7.46
1970-08-01,5.1,6.62,7.53
1970-09-01,5.4,6.29,7.39
1970-10-01,5.5,6.20,7.33
1970-11-01,5.9,5.60,6.84
1970-12-01,6.1,4.90,6.39
1971-01-01,5.9,4.14,6.24
1971-02-01,5.9,3.72,6.11
1971-03-01,6.0,3.71,5.70
1971-04-01,5.9,4.16,5.83
1971-05-01,5.9,4.63,6.39
1971-06-01,5.9,4.91,6.52
1971-07-01,6.0,5.31,6.73
1971-08-01,6.1,5.57,6.58
1971-09-01,6.0,5.55,6.14
1971-10-01,5.8,5.20,5.93
1971-11-01,6.0,4.91,5.81
1971-12-01,6.0,4.14,5.93
1972-01-01,5.8,3.51,5.95
1972-02-01,5.7,3.30,6.08
1972-03-01,5.8,3.83,6.07
1972-04-01,5.7,4.17,6.19
1972-05-01,5.7,4.27,6.13
1972-06-01,5.7,4.46,6.11
1972-07-01,5.6,4.55,6.11
1972-08-01,5.6,4.81,6.21
1972-09-01,5.5,4.87,6.55
1972-10-01,5.6,5.05,6.48
1972-11-01,5.3,5.06,6.28
1972-12-01,5.2,5.33,6.36
1973-01-01,4.9,5.94,6.46
1973-02-01,5.0,6.58,6.64
1973-03-01,4.9,7.09,6.71
1973-04-01,5.0,7.12,6.67
1973-05-01,4.9,7.84,6.85
1973-06-01,4.9,8.49,6.90
1973-07-01,4.8,10.40,7.13
1973-08-01,4.8,10.50,7.40
1973-09-01,4.8,10.78,7.09
1973-10-01,4.6,10.01,6.79
1973-11-01,4.8,10.03,6.73
1973-12-01,4.9,9.95,6.74
1974-01-01,5.1,9.65,6.99
1974-02-01,5.2,8.97,6.96
1974-03-01,5.1,9.35,7.21
1974-04-01,5.1,10.51,7.51
1974-05-01,5.1,11.31,7.58
1974-06-01,5.4,11.93,7.54
1974-07-01,5.5,12.92,7.81
1974-08-01,5.5,12.01,8.04
1974-09-01,5.9,11.34,8.04
1974-10-01,6.0,10.06,7.90
1974-11-01,6.6,9.45,7.68
1974-12-01,7.2,8.53,7.43
1975-01-01,8.1,7.13,7.50
1975-02-01,8.1,6.24,7.39
1975-03-01,8.6,5.54,7.73
1975-04-01,8.8,5.49,8.23
1975-05-01,9.0,5.22,8.06
1975-06-01,8.8,5.55,7.86
1975-07-01,8.6,6.10,8.06
1975-08-01,8.4,6.14,8.40
1975-09-01,8.4,6.24,8.43
1975-10-01,8.4,5.82,8.14
1975-11-01,8.3,5.22,8.05
1975-12-01,8.2,5.20,8.00
1976-01-01,7.9,4.87,7.74
1976-02-01,7.7,4.77,7.79
1976-03-01,7.6,4.84,7.73
1976-04-01,7.7,4.82,7.56
1976-05-01,7.4,5.29,7.90
1976-06-01,7.6,5.48,7.86
1976-07-01,7.8,5.31,7.83
1976-08-01,7.8,5.29,7.77
1976-09-01,7.6,5.25,7.59
1976-10-01,7.7,5.02,7.41
1976-11-01,7.8,4.95,7.29
1976-12-01,7.8,4.65,6.87
1977-01-01,7.5,4.61,7.21
1977-02-01,7.6,4.68,7.39
1977-03-01,7.4,4.69,7.46
1977-04-01,7.2,4.73,7.37
1977-05-01,7.0,5.35,7.46
1977-06-01,7.2,5.39,7.28
1977-07-01,6.9,5.42,7.33
1977-08-01,7.0,5.90,7.40
1977-09-01,6.8,6.14,7.34
1977-10-01,6.8,6.47,7.52
1977-11-01,6.8,6.51,7.58
1977-12-01,6.4,6.56,7.69
1978-01-01,6.4,6.70,7.96
1978-02-01,6.3,6.78,8.03
1978-03-01,6.3,6.79,8.04
1978-04-01,6.1,6.89,8.15
1978-05-01,6.0,7.36,8.35
1978-06-01,5.9,7.60,8.46
1978-07-01,6.2,7.81,8.64
1978-08-01,5.9,8.04,8.41
1978-09-01,6.0,8.45,8.42
1978-10-01,5.8,8.96,8.64
1978-11-01,5.9,9.76,8.81
1978-12-01,6.0,10.03,9.01
1979-01-01,5.9,10.07,9.10
1979-02-01,5.9,10.06,9.10
1979-03-01,5.8,10.09,9.12
1979-04-01,5.8,10.01,9.18
1979-05-01,5.6,10.24,9.25
1979-06-01,5.7,10.29,8.91
1979-07-01,5.7,10.47,8.95
1979-08-01,6.0,10.94,9.03
1979-09-01,5.9,11.43,9.33
1979-10-01,6.0,13.77,10.30
1979-11-01,5.9,13.18,10.65
1979-12-01,6.0,13.78,10.39
1980-01-01,6.3,13.82,10.80
1980-02-01,6.3,14.13,12.41
1980-03-01,6.3,17.19,12.75
1980-04-01,6.9,17.61,11.47
1980-05-01,7.5,10.98,10.18
1980-06-01,7.6,9.47,9.78
1980-07-01,7.8,9.03,10.25
1980-08-01,7.7,9.61,11.10
1980-09-01,7.5,10.87,11.51
1980-10-01,7.5,12.81,11.75
1980-11-01,7.5,15.85,12.68
1980-12-01,7.2,18.90,12.84
1981-01-01,7.5,19.08,12.57
1981-02-01,7.4,15.93,13.19
1981-03-01,7.4,14.70,13.12
1981-04-01,7.2,15.72,13.68
1981-05-01,7.5,18.52,14.10
1981-06-01,7.5,19.10,13.47
1981-07-01,7.2,19.04,14.28
1981-08-01,7.4,17.82,14.94
1981-09-01,7.6,15.87,15.32
1981-10-01,7.9,15.08,15.15
1981-11-01,8.3,13.31,13.39
1981-12-01,8.5,12.37,13.72
1982-01-01,8.6,13.22,14.59
1982-02-01,8.9,14.78,14.43
1982-03-01,9.0,14.68,13.86
1982-04-01,9.3,14.94,13.87
1982-05-01,9.4,14.45,13.62
1982-06-01,9.6,14.15,14.30
1982-07-01,9.8,12.59,13.95
1982-08-01,9.8,10.12,13.06
1982-09-01,10.1,10.31,12.34
1982-10-01,10.4,9.71,10.91
1982-11-01,10.8,9.20,10.55
1982-12-01,10.8,8.95,10.54
1983-01-01,10.4,8.68,10.46
1983-02-01,10.4,8.51,10.72
1983-03-01,10.3,8.77,10.51
1983-04-01,10.2,8.80,10.40
1983-05-01,10.1,8.63,10.38
1983-06-01,10.1,8.98,10.85
1983-07-01,9.4,9.37,11.38
1983-08-01,9.5,9.56,11.85
1983-09-01,9.2,9.45,11.65
1983-10-01,8.8,9.48,11.54
1983-11-01,8.5,9.34,11.69
1983-12-01,8.3,9.47,11.83
1984-01-01,8.0,9.56,11.67
1984-02-01,7.8,9.59,11.84
1984-03-01,7.8,9.91,12.32
1984-04-01,7.7,10.29,12.63
1984-05-01,7.4,10.32,13.41
1984-06-01,7.2,11.06,13.56
1984-07-01,7.5,11.23,13.36
1984-08-01,7.5,11.64,12.72
1984-09-01,7.3,11.30,12.52
1984-10-01,7.4,9.99,12.16
1984-11-01,7.2,9.43,11.57
1984-12-01,7.3,8.38,11.50
1985-01-01,7.3,8.35,11.38
1985-02-01,7.2,8.50,11.51
1985-03-01,7.2,8.58,11.86
1985-04-01,7.3,8.27,11.43
1985-05-01,7.2,7.97,10.85
1985-06-01,7.4,7.53,10.16
1985-07-01,7.4,7.88,10.31
1985-08-01,7.1,7.90,10.33
1985-09-01,7.1,7.92,10.37
1985-10-01,7.1,7.99,10.24
1985-11-01,7.0,8.05,9.78
1985-12-01,7.0,8.27,9.26
1986-01-01,6.7,8.14,9.19
1986-02-01,7.2,7.86,8.70
1986-03-01,7.2,7.48,7.78
1986-04-01,7.1,6.99,7.30
1986-05-01,7.2,6.85,7.71
1986-06-01,7.2,6.92,7.80
1986-07-01,7.0,6.56,7.30
1986-08-01,6.9,6.17,7.17
1986-09-01,7.0,5.89,7.45
1986-10-01,7.0,5.85,7.43
1986-11-01,6.9,6.04,7.25
1986-12-01,6.6,6.91,7.11
1987-01-01,6.6,6.43,7.08
1987-02-01,6.6,6.10,7.25
1987-03-01,6.6,6.13,7.25
1987-04-01,6.3,6.37,8.02
1987-05-01,6.3,6.85,8.61
1987-06-01,6.2,6.73,8.40
1987-07-01,6.1,6.58,8.45
1987-08-01,6.0,6.73,8.76
1987-09-01,5.9,7.22,9.42
1987-10-01,6.0,7.29,9.52
1987-11-01,5.8,6.69,8.86
1987-12-01,5.7,6.77,8.99
1988-01-01,5.7,6.83,8.67
1988-02-01,5.7,6.58,8.21
1988-03-01,5.7,6.58,8.37
1988-04-01,5.4,6.87,8.72
1988-05-01,5.6,7.09,9.09
1988-06-01,5.4,7.51,8.92
1988-07-01,5.4,7.75,9.06
1988-08-01,5.6,8.01,9.26
1988-09-01,5.4,8.19,8.98
1988-10-01,5.4,8.30,8.80
1988-11-01,5.3,8.35,8.96
1988-12-01,5.3,8.76,9.11
1989-01-01,5.4,9.12,9.09
1989-02-01,5.2,9.36,9.17
1989-03-01,5.0,9.85,9.36
1989-04-01,5.2,9.84,9.18
1989-05-01,5.2,9.81,8.86
1989-06-01,5.3,9.53,8.28
1989-07-01,5.2,9.24,8.02
1989-08-01,5.2,8.99,8.11
1989-09-01,5.3,9.02,8.19
1989-10-01,5.3,8.84,8.01
1989-11-01,5.4,8.55,7.87
1989-12-01,5.4,8.45,7.84
1990-01-01,5.4,8.23,8.21
1990-02-01,5.3,8.24,8.47
1990-03-01,5.2,8.28,8.59
1990-04-01,5.4,8.26,8.79
1990-05-01,5.4,8.18,8.76
1990-06-01,5.2,8.29,8.48
1990-07-01,5.5,8.15,8.47
1990-08-01,5.7,8.13,8.75
1990-09-01,5.9,8.20,8.89
1990-10-01,5.9,8.11,8.72
1990-11-01,6.2,7.81,8.39
1990-12-01,6.3,7.31,8.08
1991-01-01,6.4,6.91,8.09
1991-02-01,6.6,6.25,7.85
1991-03-01,6.8,6.12,8.11
1991-04-01,6.7,5.91,8.04
1991-05-01,6.9,5.78,8.07
1991-06-01,6.9,5.90,8.28
1991-07-01,6.8,5.82,8.27
1991-08-01,6.9,5.66,7.90
1991-09-01,6.9,5.45,7.65
1991-10-01,7.0,5.21,7.53
1991-11-01,7.0,4.81,7.42
1991-12-01,7.3,4.43,7.09
1992-01-01,7.3,4.03,7.03
1992-02-01,7.4,4.06,7.34
1992-03-01,7.4,3.98,7.54
1992-04-01,7.4,3.73,7.48
1992-05-01,7.6,3.82,7.39
1992-06-01,7.8,3.76,7.26
1992-07-01,7.7,3.25,6.84
1992-08-01,7.6,3.30,6.59
1992-09-01,7.6,3.22,6.42
1992-10-01,7.3,3.10,6.59
1992-11-01,7.4,3.09,6.87
1992-12-01,7.4,2.92,6.77
1993-01-01,7.3,3.02,6.60
1993-02-01,7.1,3.03,6.26
1993-03-01,7.0,3.07,5.98
1993-04-01,7.1,2.96,5.97
1993-05-01,7.1,3.00,6.04
1993-06-01,7.0,3.04,5.96
1993-07-01,6.9,3.06,5.81
1993-08-01,6.8,3.03,5.68
1993-09-01,6.7,3.09,5.36
1993-10-01,6.8,2.99,5.33
1993-11-01,6.6,3.02,5.72
1993-12-01,6.5,2.96,5.77
1994-01-01,6.6,3.05,5.75
1994-02-01,6.6,3.25,5.97
1994-03-01,6.5,3.34,6.48
1994-04-01,6.4,3.56,6.97
1994-05-01,6.1,4.01,7.18
1994-06-01,6.1,4.25,7.10
1994-07-01,6.1,4.26,7.30
1994-08-01,6.0,4.47,7.24
1994-09-01,5.9,4.73,7.46
1994-10-01,5.8,4.76,7.74
1994-11-01,5.6,5.29,7.96
1994-12-01,5.5,5.45,7.81
1995-01-01,5.6,5.53,7.78
1995-02-01,5.4,5.92,7.47
1995-03-01,5.4,5.98,7.20
1995-04-01,5.8,6.05,7.06
1995-05-01,5.6,6.01,6.63
1995-06-01,5.6,6.00,6.17
1995-07-01,5.7,5.85,6.28
1995-08-01,5.7,5.74,6.49
1995-09-01,5.6,5.80,6.20
1995-10-01,5.5,5.76,6.04
1995-11-01,5.6,5.80,5.93
1995-12-01,5.6,5.60,5.71
1996-01-01,5.6,5.56,5.65
1996-02-01,5.5,5.22,5.81
1996-03-01,5.5,5.31,6.27
1996-04-01,5.6,5.22,6.51
1996-05-01,5.6,5.24,6.74
1996-06-01,5.3,5.27,6.91
1996-07-01,5.5,5.40,6.87
1996-08-01,5.1,5.22,6.64
1996-09-01,5.2,5.30,6.83
1996-10-01,5.2,5.24,6.53
1996-11-01,5.4,5.31,6.20
1996-12-01,5.4,5.29,6.30
1997-01-01,5.3,5.25,6.58
1997-02-01,5.2,5.19,6.42
1997-03-01,5.2,5.39,6.69
1997-04-01,5.1,5.51,6.89
1997-05-01,4.9,5.50,6.71
1997-06-01,5.0,5.56,6.49
1997-07-01,4.9,5.52,6.22
1997-08-01,4.8,5.54,6.30
1997-09-01,4.9,5.54,6.21
1997-10-01,4.7,5.50,6.03
1997-11-01,4.6,5.52,5.88
1997-12-01,4.7,5.50,5.81
1998-01-01,4.6,5.56,5.54
1998-02-01,4.6,5.51,5.57
1998-03-01,4.7,5.49,5.65
1998-04-01,4.3,5.45,5.64
1998-05-01,4.4,5.49,5.65
1998-06-01,4.5,5.56,5.50
1998-07-01,4.5,5.54,5.46
1998-08-01,4.5,5.55,5.34
1998-09-01,4.6,5.51,4.81
1998-10-01,4.5,5.07,4.53
1998-11-01,4.4,4.83,4.83
1998-12-01,4.4,4.68,4.65
1999-01-01,4.3,4.63,4.72
1999-02-01,4.4,4.76,5.00
1999-03-01,4.2,4.81,5.23
1999-04-01,4.3,4.74,5.18
1999-05-01,4.2,4.74,5.54
1999-06-01,4.3,4.76,5.90
1999-07-01,4.3,4.99,5.79
1999-08-01,4.2,5.07,5.94
1999-09-01,4.2,5.22,5.92
1999-10-01,4.1,5.20,6.11
1999-11-01,4.1,5.42,6.03
1999-12-01,4.0,5.30,6.28
2000-01-01,4.0,5.45,6.66
2000-02-01,4.1,5.73,6.52
2000-03-01,4.0,5.85,6.26
2000-04-01,3.8,6.02,5.99
2000-05-01,4.0,6.27,6.44
2000-06-01,4.0,6.53,6.10
2000-07-01,4.0,6.54,6.05
2000-08-01,4.1,6.50,5.83
